"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

"SLOVENIJA"
" ";"1995"
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-150
" ";"2006"
" ";" ";"Selitveni prirast s tujino - Skupaj";96
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-175
" ";"2007"
" ";" ";"Selitveni prirast s tujino - Skupaj";191
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-218
" ";"2008"
" ";" ";"Selitveni prirast s tujino - Skupaj";288
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-622
" ";"2009"
" ";" ";"Selitveni prirast s tujino - Skupaj";169
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-372
" ";"2010"
" ";" ";"Selitveni prirast s tujino - Skupaj";-22
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-347
" ";"2011"
" ";" ";"Selitveni prirast s tujino - Skupaj";61
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-167
" ";"2012"
" ";" ";"Selitveni prirast s tujino - Skupaj";64
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-386
" ";"2013"
" ";" ";"Selitveni prirast s tujino - Skupaj";-104
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-437
" ";"2014"
" ";" ";"Selitveni prirast s tujino - Skupaj";-162
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-132
" ";"2015"
" ";" ";"Selitveni prirast s tujino - Skupaj";-61
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-162
" ";"2016"
" ";" ";"Selitveni prirast s tujino - Skupaj";-74
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-159
" ";"2017"
" ";" ";"Selitveni prirast s tujino - Skupaj";-62
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-180
"Savinjska"
" ";"1995"
" ";" ";"Selitveni prirast s tujino - Skupaj";174
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";25
" ";"1996"
" ";" ";"Selitveni prirast s tujino - Skupaj";49
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-102
" ";"1997"
" ";" ";"Selitveni prirast s tujino - Skupaj";22
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-38
" ";"1998"
" ";" ";"Selitveni prirast s tujino - Skupaj";-389
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-84
" ";"1999"
" ";" ";"Selitveni prirast s tujino - Skupaj";249
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-102
" ";"2000"
" ";" ";"Selitveni prirast s tujino - Skupaj";339
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-123
" ";"2001"
" ";" ";"Selitveni prirast s tujino - Skupaj";301
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-9
" ";"2002"
" ";" ";"Selitveni prirast s tujino - Skupaj";378
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-62
" ";"2003"
" ";" ";"Selitveni prirast s tujino - Skupaj";500
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-146
" ";"2004"
" ";" ";"Selitveni prirast s tujino - Skupaj";194
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-147
" ";"2005"
" ";" ";"Selitveni prirast s tujino - Skupaj";919
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-105
" ";"2006"
" ";" ";"Selitveni prirast s tujino - Skupaj";1090
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-120
" ";"2007"
" ";" ";"Selitveni prirast s tujino - Skupaj";2274
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-65
" ";"2008"
" ";" ";"Selitveni prirast s tujino - Skupaj";2517
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-1059
" ";"2009"
" ";" ";"Selitveni prirast s tujino - Skupaj";1223
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-1017
" ";"2010"
