"","regija","leto","starostna skupina","stevilo"
"418","Posavska",1996,"0-14 let",13124
"419","Posavska",1996,"15-64 let",48266
"420","Posavska",1996,"65 + let",9874
"421","Posavska",1997,"0-14 let",12536
"422","Posavska",1997,"15-64 let",47800
"423","Posavska",1997,"65 + let",9962
"424","Posavska",1998,"0-14 let",12193
"425","Posavska",1998,"15-64 let",47736
"426","Posavska",1998,"65 + let",10106
"427","Posavska",1999,"0-14 let",11855
"428","Posavska",1999,"15-64 let",47671
"429","Posavska",1999,"65 + let",10313
"430","Posavska",2000,"0-14 let",11462
"431","Posavska",2000,"15-64 let",47939
"432","Posavska",2000,"65 + let",10443
"433","Posavska",2001,"0-14 let",11197
"434","Posavska",2001,"15-64 let",47889
"435","Posavska",2001,"65 + let",10616
"436","Posavska",2002,"0-14 let",10938
"437","Posavska",2002,"15-64 let",48081
"438","Posavska",2002,"65 + let",10795
"439","Posavska",2003,"0-14 let",10728
"440","Posavska",2003,"15-64 let",48192
"441","Posavska",2003,"65 + let",10975
"442","Posavska",2004,"0-14 let",10326
"443","Posavska",2004,"15-64 let",48596
"444","Posavska",2004,"65 + let",11133
"445","Posavska",2005,"0-14 let",10065
"446","Posavska",2005,"15-64 let",48517
"447","Posavska",2005,"65 + let",11244
"448","Posavska",2006,"0-14 let",9901
"449","Posavska",2006,"15-64 let",48617
"450","Posavska",2006,"65 + let",11381
"451","Posavska",2007,"0-14 let",9785
"452","Posavska",2007,"15-64 let",48824
"453","Posavska",2007,"65 + let",11449
"454","Posavska",2008,"0-14 let",9706
"455","Posavska",2008,"15-64 let",49086
"456","Posavska",2008,"65 + let",11561
"457","Posavska",2009,"0-14 let",9624
"458","Posavska",2009,"15-64 let",48366
"459","Posavska",2009,"65 + let",11910
"460","Posavska",2010,"0-14 let",9697
"461","Posavska",2010,"15-64 let",48522
"462","Posavska",2010,"65 + let",11973
"463","Posavska",2011,"0-14 let",9758
"464","Posavska",2011,"15-64 let",48449
"465","Posavska",2011,"65 + let",11960
"466","Posavska",2012,"0-14 let",9845
"467","Posavska",2012,"15-64 let",48174
"468","Posavska",2012,"65 + let",12145
"469","Posavska",2013,"0-14 let",9916
"470","Posavska",2013,"15-64 let",47944
"471","Posavska",2013,"65 + let",12351
"472","Posavska",2014,"0-14 let",10013
"473","Posavska",2014,"15-64 let",47375
"474","Posavska",2014,"65 + let",12570
"475","Posavska",2015,"0-14 let",10865
"476","Posavska",2015,"15-64 let",50810
"477","Posavska",2015,"65 + let",13944
"478","Posavska",2016,"0-14 let",10978
"479","Posavska",2016,"15-64 let",50452
"480","Posavska",2016,"65 + let",14281
"481","Posavska",2017,"0-14 let",11009
"482","Posavska",2017,"15-64 let",49921
"483","Posavska",2017,"65 + let",14614
"484","Jugovzhodna Slovenija",1995,"0-14 let",21881
"485","Jugovzhodna Slovenija",1995,"15-64 let",71357
"486","Jugovzhodna Slovenija",1995,"65 + let",11566
"487","Jugovzhodna Slovenija",1996,"0-14 let",21637
"488","Jugovzhodna Slovenija",1996,"15-64 let",71500
"489","Jugovzhodna Slovenija",1996,"65 + let",12003
"490","Jugovzhodna Slovenija",1997,"0-14 let",21207
"491","Jugovzhodna Slovenija",1997,"15-64 let",72081
"492","Jugovzhodna Slovenija",1997,"65 + let",12580
"493","Jugovzhodna Slovenija",1998,"0-14 let",20654
"494","Jugovzhodna Slovenija",1998,"15-64 let",72481
"495","Jugovzhodna Slovenija",1998,"65 + let",12993
"496","Jugovzhodna Slovenija",1999,"0-14 let",20138
"497","Jugovzhodna Slovenija",1999,"15-64 let",72434
"498","Jugovzhodna Slovenija",1999,"65 + let",13341
"499","Jugovzhodna Slovenija",2000,"0-14 let",25141
"500","Jugovzhodna Slovenija",2000,"15-64 let",94485
"501","Jugovzhodna Slovenija",2000,"65 + let",18300
"502","Jugovzhodna Slovenija",2001,"0-14 let",24551
"503","Jugovzhodna Slovenija",2001,"15-64 let",94754
"504","Jugovzhodna Slovenija",2001,"65 + let",18793
"505","Jugovzhodna Slovenija",2002,"0-14 let",24000
"506","Jugovzhodna Slovenija",2002,"15-64 let",95071
"507","Jugovzhodna Slovenija",2002,"65 + let",19309
"508","Jugovzhodna Slovenija",2003,"0-14 let",23285
"509","Jugovzhodna Slovenija",2003,"15-64 let",95598
"510","Jugovzhodna Slovenija",2003,"65 + let",19761
"511","Jugovzhodna Slovenija",2004,"0-14 let",22577
"512","Jugovzhodna Slovenija",2004,"15-64 let",96121
"513","Jugovzhodna Slovenija",2004,"65 + let",20150
"514","Jugovzhodna Slovenija",2005,"0-14 let",22031
"515","Jugovzhodna Slovenija",2005,"15-64 let",96513
"516","Jugovzhodna Slovenija",2005,"65 + let",20551
"517","Jugovzhodna Slovenija",2006,"0-14 let",21631
"518","Jugovzhodna Slovenija",2006,"15-64 let",97203
"519","Jugovzhodna Slovenija",2006,"65 + let",20913
"520","Jugovzhodna Slovenija",2007,"0-14 let",21385
"521","Jugovzhodna Slovenija",2007,"15-64 let",97553
"522","Jugovzhodna Slovenija",2007,"65 + let",21320
"523","Jugovzhodna Slovenija",2008,"0-14 let",21242
"524","Jugovzhodna Slovenija",2008,"15-64 let",98657
"525","Jugovzhodna Slovenija",2008,"65 + let",21648
"526","Jugovzhodna Slovenija",2009,"0-14 let",21178
"527","Jugovzhodna Slovenija",2009,"15-64 let",97898
"528","Jugovzhodna Slovenija",2009,"65 + let",22090
"529","Jugovzhodna Slovenija",2010,"0-14 let",21168
"530","Jugovzhodna Slovenija",2010,"15-64 let",98737
"531","Jugovzhodna Slovenija",2010,"65 + let",22187
"532","Jugovzhodna Slovenija",2011,"0-14 let",21351
"533","Jugovzhodna Slovenija",2011,"15-64 let",98945
"534","Jugovzhodna Slovenija",2011,"65 + let",22187
"535","Jugovzhodna Slovenija",2012,"0-14 let",21626
"536","Jugovzhodna Slovenija",2012,"15-64 let",98531
"537","Jugovzhodna Slovenija",2012,"65 + let",22523
"538","Jugovzhodna Slovenija",2013,"0-14 let",21856
"539","Jugovzhodna Slovenija",2013,"15-64 let",97693
"540","Jugovzhodna Slovenija",2013,"65 + let",22960
"541","Jugovzhodna Slovenija",2014,"0-14 let",22097
"542","Jugovzhodna Slovenija",2014,"15-64 let",96939
"543","Jugovzhodna Slovenija",2014,"65 + let",23369
"544","Jugovzhodna Slovenija",2015,"0-14 let",22316
"545","Jugovzhodna Slovenija",2015,"15-64 let",96139
"546","Jugovzhodna Slovenija",2015,"65 + let",23918
"547","Jugovzhodna Slovenija",2016,"0-14 let",22503
"548","Jugovzhodna Slovenija",2016,"15-64 let",95528
"549","Jugovzhodna Slovenija",2016,"65 + let",24535
"550","Jugovzhodna Slovenija",2017,"0-14 let",22637
"551","Jugovzhodna Slovenija",2017,"15-64 let",94950
"552","Jugovzhodna Slovenija",2017,"65 + let",25124
"553","Osrednjeslovenska",1995,"0-14 let",96063
"554","Osrednjeslovenska",1995,"15-64 let",357795
"555","Osrednjeslovenska",1995,"65 + let",59442
"556","Osrednjeslovenska",1996,"0-14 let",94072
"557","Osrednjeslovenska",1996,"15-64 let",361790
"558","Osrednjeslovenska",1996,"65 + let",62266
"559","Osrednjeslovenska",1997,"0-14 let",90790
"560","Osrednjeslovenska",1997,"15-64 let",362444
"561","Osrednjeslovenska",1997,"65 + let",64078
"562","Osrednjeslovenska",1998,"0-14 let",88400
"563","Osrednjeslovenska",1998,"15-64 let",362599
"564","Osrednjeslovenska",1998,"65 + let",66264
"565","Osrednjeslovenska",1999,"0-14 let",86069
"566","Osrednjeslovenska",1999,"15-64 let",361012
"567","Osrednjeslovenska",1999,"65 + let",68213
"568","Osrednjeslovenska",2000,"0-14 let",78890
"569","Osrednjeslovenska",2000,"15-64 let",343189
"570","Osrednjeslovenska",2000,"65 + let",65710
"571","Osrednjeslovenska",2001,"0-14 let",77830
"572","Osrednjeslovenska",2001,"15-64 let",344809
"573","Osrednjeslovenska",2001,"65 + let",67509
"574","Osrednjeslovenska",2002,"0-14 let",76505
"575","Osrednjeslovenska",2002,"15-64 let",345902
"576","Osrednjeslovenska",2002,"65 + let",69710
"577","Osrednjeslovenska",2003,"0-14 let",75056
"578","Osrednjeslovenska",2003,"15-64 let",346663
"579","Osrednjeslovenska",2003,"65 + let",71713
"580","Osrednjeslovenska",2004,"0-14 let",73608
"581","Osrednjeslovenska",2004,"15-64 let",347960
"582","Osrednjeslovenska",2004,"65 + let",73533
"583","Osrednjeslovenska",2005,"0-14 let",72817
"584","Osrednjeslovenska",2005,"15-64 let",348349
"585","Osrednjeslovenska",2005,"65 + let",75509
